number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
102,0.3205350598172422,2025-12-23 02:20:29.575989,2025-12-23 02:20:56.693574,0 days 00:00:27.117585,0.0009827674611457352,COMPLETE
103,0.4778299240791295,2025-12-23 02:20:56.707298,2025-12-23 02:21:23.765290,0 days 00:00:27.057992,0.0004763788186400906,COMPLETE
104,0.3916432519311262,2025-12-23 02:21:23.776720,2025-12-23 02:21:50.846139,0 days 00:00:27.069419,0.00024456582178966396,COMPLETE
105,0.32117954579622143,2025-12-23 02:21:50.857611,2025-12-23 02:22:18.102323,0 days 00:00:27.244712,0.0006412358633324013,COMPLETE
106,0.32437297258216663,2025-12-23 02:22:18.113896,2025-12-23 02:22:45.213051,0 days 00:00:27.099155,0.0009704643920055959,COMPLETE
107,0.3853958678651003,2025-12-23 02:22:45.224420,2025-12-23 02:23:12.189842,0 days 00:00:26.965422,0.000990546013003959,COMPLETE
108,0.41208554472144593,2025-12-23 02:23:12.205260,2025-12-23 02:23:39.239521,0 days 00:00:27.034261,0.0007192886389951377,COMPLETE
109,0.34462320860420714,2025-12-23 02:23:39.251913,2025-12-23 02:24:06.463743,0 days 00:00:27.211830,0.0006055687605506235,COMPLETE
110,0.39985211022305756,2025-12-23 02:24:06.476061,2025-12-23 02:24:33.467827,0 days 00:00:26.991766,0.000975907288288191,COMPLETE
111,0.3268784686126175,2025-12-23 02:24:33.479343,2025-12-23 02:25:00.660022,0 days 00:00:27.180679,0.0008959574060088554,COMPLETE
112,0.38517485068912694,2025-12-23 02:25:00.674248,2025-12-23 02:25:27.822356,0 days 00:00:27.148108,0.0007420609862586379,COMPLETE
113,0.41301993827745753,2025-12-23 02:25:27.838477,2025-12-23 02:25:55.041156,0 days 00:00:27.202679,0.0008370207580025959,COMPLETE
114,0.33899391543673896,2025-12-23 02:25:55.057092,2025-12-23 02:26:22.078247,0 days 00:00:27.021155,0.0006166703278885561,COMPLETE
115,0.3332749595690227,2025-12-23 02:26:22.090061,2025-12-23 02:26:49.271170,0 days 00:00:27.181109,0.0008919615734142778,COMPLETE
116,0.3264708089052972,2025-12-23 02:26:49.282357,2025-12-23 02:27:16.472254,0 days 00:00:27.189897,4.477366586117805e-05,COMPLETE
117,0.3872564015508984,2025-12-23 02:27:16.484196,2025-12-23 02:27:43.622325,0 days 00:00:27.138129,0.0007800038073122689,COMPLETE
118,0.40789952703559124,2025-12-23 02:27:43.634068,2025-12-23 02:28:10.548989,0 days 00:00:26.914921,0.0003993111597414152,COMPLETE
119,0.31883591429686486,2025-12-23 02:28:10.561351,2025-12-23 02:28:37.666200,0 days 00:00:27.104849,0.0006278779103305724,COMPLETE
120,0.37884551033437847,2025-12-23 02:28:37.680562,2025-12-23 02:29:04.702697,0 days 00:00:27.022135,0.0005352855428975366,COMPLETE
121,0.4105014353945792,2025-12-23 02:29:04.713941,2025-12-23 02:29:31.769325,0 days 00:00:27.055384,0.0003377058682760735,COMPLETE
122,0.34624709639714224,2025-12-23 02:29:31.781743,2025-12-23 02:29:58.879539,0 days 00:00:27.097796,0.0005906498401511771,COMPLETE
123,0.32899062173991145,2025-12-23 02:29:58.891131,2025-12-23 02:30:26.242992,0 days 00:00:27.351861,0.0006761405220384652,COMPLETE
124,0.4305945652244207,2025-12-23 02:30:26.254757,2025-12-23 02:30:53.465933,0 days 00:00:27.211176,0.0005018140651535421,COMPLETE
125,0.37784343035407775,2025-12-23 02:30:53.478205,2025-12-23 02:31:20.788087,0 days 00:00:27.309882,0.0008584098614926576,COMPLETE
126,0.32239495068050944,2025-12-23 02:31:20.800171,2025-12-23 02:31:48.010108,0 days 00:00:27.209937,0.0006723358994870975,COMPLETE
127,0.3190410029875213,2025-12-23 02:31:48.023028,2025-12-23 02:32:15.262082,0 days 00:00:27.239054,0.000667870333750836,COMPLETE
128,0.3178726807470554,2025-12-23 02:32:15.275076,2025-12-23 02:32:42.259639,0 days 00:00:26.984563,0.0006489053517350377,COMPLETE
129,0.3913954024013723,2025-12-23 02:32:42.272946,2025-12-23 02:33:09.683353,0 days 00:00:27.410407,0.0004248211299503099,COMPLETE
130,0.3296424689883698,2025-12-23 02:33:09.695811,2025-12-23 02:33:36.608011,0 days 00:00:26.912200,0.0006731541477288292,COMPLETE
131,0.341577102614703,2025-12-23 02:33:36.620546,2025-12-23 02:34:03.409665,0 days 00:00:26.789119,0.0005886160066248053,COMPLETE
132,0.31826385602551327,2025-12-23 02:34:03.421761,2025-12-23 02:34:30.294728,0 days 00:00:26.872967,0.0006454521834095432,COMPLETE
133,0.3833643462935357,2025-12-23 02:34:30.306235,2025-12-23 02:34:57.081242,0 days 00:00:26.775007,0.0007745595432137534,COMPLETE
134,0.31874097382070626,2025-12-23 02:34:57.093034,2025-12-23 02:35:24.107450,0 days 00:00:27.014416,0.0006493635908026369,COMPLETE
135,0.4276795916287893,2025-12-23 02:35:24.119285,2025-12-23 02:35:50.874616,0 days 00:00:26.755331,0.00045659900229786093,COMPLETE
136,0.32390596994955956,2025-12-23 02:35:50.886702,2025-12-23 02:36:17.692432,0 days 00:00:26.805730,0.0006531070953581385,COMPLETE
137,0.37349607047913264,2025-12-23 02:36:17.703266,2025-12-23 02:36:44.600026,0 days 00:00:26.896760,0.0005518810563577588,COMPLETE
138,0.3268194674458768,2025-12-23 02:36:44.611722,2025-12-23 02:37:11.422507,0 days 00:00:26.810785,0.0006718803630577578,COMPLETE
139,0.3270836159910625,2025-12-23 02:37:11.433901,2025-12-23 02:37:38.208554,0 days 00:00:26.774653,0.0006953482624644846,COMPLETE
140,0.39033784869642585,2025-12-23 02:37:38.222496,2025-12-23 02:38:05.145717,0 days 00:00:26.923221,0.0005232706187001242,COMPLETE
141,0.3188592009626551,2025-12-23 02:38:05.157730,2025-12-23 02:38:32.059536,0 days 00:00:26.901806,0.0006374911409834969,COMPLETE
142,0.3806144128584032,2025-12-23 02:38:32.071202,2025-12-23 02:38:58.893866,0 days 00:00:26.822664,0.0008164982296759833,COMPLETE
143,0.33850007325171694,2025-12-23 02:38:58.905395,2025-12-23 02:39:25.661596,0 days 00:00:26.756201,0.0006163003926421798,COMPLETE
144,0.32803349443595214,2025-12-23 02:39:25.673313,2025-12-23 02:39:52.565172,0 days 00:00:26.891859,0.0006496668684265391,COMPLETE
145,0.31827744979836053,2025-12-23 02:39:52.578378,2025-12-23 02:40:19.337025,0 days 00:00:26.758647,0.0009269627027867705,COMPLETE
146,0.321333739655078,2025-12-23 02:40:19.350769,2025-12-23 02:40:46.094791,0 days 00:00:26.744022,0.0009174578322883051,COMPLETE
147,0.31015212711721485,2025-12-23 02:40:46.106441,2025-12-23 02:41:12.881364,0 days 00:00:26.774923,0.0009037744157023862,COMPLETE
148,0.3016161091712289,2025-12-23 02:41:12.900196,2025-12-23 02:41:39.777025,0 days 00:00:26.876829,0.0009118170651837769,COMPLETE
149,0.3404885045757721,2025-12-23 02:41:39.791182,2025-12-23 02:42:06.691489,0 days 00:00:26.900307,0.0009316209263519501,COMPLETE
