number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
52,0.22044113002439844,2026-01-17 12:46:28.318596,2026-01-17 12:46:36.753598,0 days 00:00:08.435002,0.394140815630254,32,1.0062432527504514e-05,2,COMPLETE
53,0.2256359501900418,2026-01-17 12:46:36.764353,2026-01-17 12:46:45.086372,0 days 00:00:08.322019,0.4316109859429884,32,1.2865755167735968e-05,2,COMPLETE
54,0.23314632902397261,2026-01-17 12:46:45.097995,2026-01-17 12:46:53.405900,0 days 00:00:08.307905,0.36654816807553947,32,1.6734359762985363e-05,2,COMPLETE
55,0.2206306717174241,2026-01-17 12:46:53.416377,2026-01-17 12:47:01.634702,0 days 00:00:08.218325,0.33548663812178303,32,1.0164319728056157e-05,2,COMPLETE
56,0.22470462332657834,2026-01-17 12:47:01.645823,2026-01-17 12:47:10.021317,0 days 00:00:08.375494,0.33213758503193397,32,1.2365868799202134e-05,2,COMPLETE
57,0.23653785637801206,2026-01-17 12:47:10.032593,2026-01-17 12:47:18.297367,0 days 00:00:08.264774,0.3915093425783368,32,1.8420881867820637e-05,2,COMPLETE
58,0.4489567500118268,2026-01-17 12:47:18.309194,2026-01-17 12:47:26.603128,0 days 00:00:08.293934,0.2984932149645029,32,0.0005359053200598249,2,COMPLETE
59,0.4419230913482535,2026-01-17 12:47:26.613656,2026-01-17 12:47:34.959812,0 days 00:00:08.346156,0.4136381555699679,96,2.988369793014389e-05,2,COMPLETE
60,0.32999540509656633,2026-01-17 12:47:34.970690,2026-01-17 12:47:43.285149,0 days 00:00:08.314459,0.3688054749677434,64,1.4619106582348089e-05,2,COMPLETE
61,0.22263176229917309,2026-01-17 12:47:43.296165,2026-01-17 12:47:51.575043,0 days 00:00:08.278878,0.34640862428498675,32,1.125084668762509e-05,2,COMPLETE
62,0.22056597415856388,2026-01-17 12:47:51.586584,2026-01-17 12:47:59.790904,0 days 00:00:08.204320,0.37670400692099987,32,1.0130417187132135e-05,2,COMPLETE
63,0.22106138743040682,2026-01-17 12:47:59.802605,2026-01-17 12:48:08.107927,0 days 00:00:08.305322,0.3828340141186271,32,1.0404177662151964e-05,2,COMPLETE
64,0.22407737998449817,2026-01-17 12:48:08.120004,2026-01-17 12:48:16.312844,0 days 00:00:08.192840,0.368705755182134,32,1.2032430994042919e-05,2,COMPLETE
65,0.245963447666284,2026-01-17 12:48:16.324905,2026-01-17 12:48:24.666811,0 days 00:00:08.341906,0.3356226346171082,32,2.273242495246118e-05,2,COMPLETE
66,0.4248605338634448,2026-01-17 12:48:24.678255,2026-01-17 12:48:32.896390,0 days 00:00:08.218135,0.45042144446322596,16,1.6680500598653218e-05,2,COMPLETE
67,0.33227691091847583,2026-01-17 12:48:32.907950,2026-01-17 12:48:41.800148,0 days 00:00:08.892198,0.4048301750101476,128,1.4467153728545551e-05,2,COMPLETE
68,0.2205674314892296,2026-01-17 12:48:41.811565,2026-01-17 12:48:50.099411,0 days 00:00:08.287846,0.3832396312173463,32,1.013201788195187e-05,2,COMPLETE
69,0.3872617692800328,2026-01-17 12:48:50.109564,2026-01-17 12:48:58.477703,0 days 00:00:08.368139,0.42346952740317045,32,0.0001812986884825413,2,COMPLETE
70,0.2849593599720486,2026-01-17 12:48:58.489416,2026-01-17 12:49:06.527957,0 days 00:00:08.038541,,32,1.1658739287894778e-05,1,COMPLETE
71,0.2205202652389495,2026-01-17 12:49:06.539799,2026-01-17 12:49:14.924979,0 days 00:00:08.385180,0.3882614360598611,32,1.0105072637690565e-05,2,COMPLETE
72,0.226241927833951,2026-01-17 12:49:14.935851,2026-01-17 12:49:23.343066,0 days 00:00:08.407215,0.3800319936886011,32,1.3183741912054138e-05,2,COMPLETE
73,0.22046141229413282,2026-01-17 12:49:23.354114,2026-01-17 12:49:31.593765,0 days 00:00:08.239651,0.390449853155085,32,1.0072810078882256e-05,2,COMPLETE
74,0.2388534579335139,2026-01-17 12:49:31.604577,2026-01-17 12:49:39.955175,0 days 00:00:08.350598,0.39496179911045043,32,1.952123167447049e-05,2,COMPLETE
75,0.22354492260389594,2026-01-17 12:49:39.966039,2026-01-17 12:49:48.385100,0 days 00:00:08.419061,0.43690767606142533,32,1.17461438868329e-05,2,COMPLETE
76,0.23042249613198207,2026-01-17 12:49:48.396192,2026-01-17 12:49:56.679215,0 days 00:00:08.283023,0.38620379773498253,32,1.5360727196100173e-05,2,COMPLETE
77,0.36965617429095227,2026-01-17 12:49:56.691125,2026-01-17 12:50:05.227789,0 days 00:00:08.536664,0.4030872364108103,96,1.3472270188744893e-05,2,COMPLETE
78,0.22309877868792627,2026-01-17 12:50:05.239875,2026-01-17 12:50:13.550853,0 days 00:00:08.310978,0.4533088716390337,32,1.150462992473679e-05,2,COMPLETE
79,0.42429893811786135,2026-01-17 12:50:13.562040,2026-01-17 12:50:21.895149,0 days 00:00:08.333109,0.36052262065456386,16,1.6047847805578502e-05,2,COMPLETE
80,0.29627738014980726,2026-01-17 12:50:21.907941,2026-01-17 12:50:30.611330,0 days 00:00:08.703389,0.3759814318032305,64,1.4331850752715453e-05,3,COMPLETE
