Municipio,Ano,Area
Arapua,2019,780
Arapua,2020,750
Arapua,2021,750
Arapua,2022,750
Arapua,2023,750
Arapua,2024,770
Araxa,2012,2200
Araxa,2013,2200
Araxa,2014,2100
Araxa,2015,1900
Araxa,2016,1900
Araxa,2017,2550
Araxa,2018,3800
Araxa,2019,3800
Araxa,2020,3402
Araxa,2021,3402
Araxa,2022,3403
Araxa,2023,3703
Araxa,2024,3403
Arceburgo,2012,1300
Arceburgo,2013,1300
Arceburgo,2014,1225
Arceburgo,2015,1025
Arceburgo,2016,1225
Arceburgo,2017,1100
Arceburgo,2018,1190
Arceburgo,2019,1190
Arceburgo,2020,1550
Arceburgo,2021,1499
Arceburgo,2022,1470
Arceburgo,2023,1720
Arceburgo,2024,1740
Areado,2012,2718
Areado,2013,2655
Areado,2014,2963
Areado,2015,2400
Areado,2016,2827
Areado,2017,2670
Areado,2018,3090
Areado,2019,2785
Areado,2020,2489
Areado,2021,1970
Areado,2022,2600
Areado,2023,2910
Areado,2024,2850
Aricanduva,2012,450
Aricanduva,2013,465
Aricanduva,2014,440
Aricanduva,2015,400
Aricanduva,2016,400
Aricanduva,2017,430
Aricanduva,2018,460
Aricanduva,2019,460
Aricanduva,2020,560
Aricanduva,2021,760
Aricanduva,2022,815
Aricanduva,2023,810
Aricanduva,2024,815
Astolfo_Dutra,2012,180
Astolfo_Dutra,2013,180
Astolfo_Dutra,2014,180
Astolfo_Dutra,2015,180
Astolfo_Dutra,2016,60
Astolfo_Dutra,2017,9
Astolfo_Dutra,2018,25
Astolfo_Dutra,2019,25
Astolfo_Dutra,2020,8
Astolfo_Dutra,2021,8
Astolfo_Dutra,2022,8
Astolfo_Dutra,2023,8
Astolfo_Dutra,2024,8
Ataleia,2012,65
Ataleia,2013,65
Ataleia,2014,50
Ataleia,2015,65
Ataleia,2016,65
Ataleia,2017,83
Ataleia,2018,100
Ataleia,2019,100
Ataleia,2020,83
Ataleia,2021,75
Ataleia,2022,70
Ataleia,2023,60
Ataleia,2024,85
Baependi,2012,1522
Baependi,2013,1542
Baependi,2014,1392
Baependi,2015,1400
Baependi,2016,1500
Baependi,2017,915
Baependi,2018,1050
Baependi,2019,916
Baependi,2020,936
Baependi,2021,904
Baependi,2022,905
Baependi,2023,905
Baependi,2024,905
Bambui,2012,3320
Bambui,2013,3400
Bambui,2014,3180
Bambui,2015,3050
Bambui,2016,3200
Bambui,2017,2800
Bambui,2018,2450
Bambui,2019,3000
Bambui,2020,3418
Bambui,2021,3112
Bambui,2022,3150
Bambui,2023,3050
Bambui,2024,2920
Bandeira,2012,80
Bandeira,2013,80
Bandeira,2014,70
Bandeira,2015,80
