municipio,ano,target,cdd_5,cdd_9,prcptot_3,precomediocafe,tnn_5,tnn_6,tnn_7,txx_11,txx_9,wd30_10,wd30_11,wd30_9,cdd_6,tnn_8,prcptot_2,prcptot_11,wd30_2,wd30_3,txx_10,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Aguas_Vermelhas,2020,3.6,17.0,23.0,121.25,110.44833333333334,6.95,6.92,3.49,36.0,33.49,19.0,22.0,12.0,30.0,6.19,266.88,202.25,23.0,7.0,35.49,False,False,True,False
Aguas_Vermelhas,2021,3.0,22.0,22.0,279.19,114.73333333333332,5.3,7.15,6.85,32.25,35.89,19.0,7.0,17.0,30.0,7.89,182.25,59.06,10.0,26.0,40.05,False,False,True,False
Angelandia,2012,1.080048076923077,11.0,13.0,142.12,255.14083333333332,12.14,9.89,8.91,29.04,33.81,5.0,0.0,4.0,20.0,8.85,136.75,100.44,8.0,17.0,31.71,False,False,True,False
Angelandia,2013,1.200448430493273,28.0,15.0,220.25,172.1825,12.22,10.79,8.68,33.95,34.86,12.0,4.0,6.0,13.0,8.12,249.69,152.06,4.0,11.0,35.78,False,False,True,False
Angelandia,2014,1.15,22.0,21.0,228.56,137.595,8.82,11.63,9.55,31.8,35.22,6.0,6.0,5.0,12.0,9.05,236.25,146.44,4.0,3.0,32.53,False,False,True,False
Angelandia,2015,0.96,9.0,10.0,223.5,168.48333333333332,11.28,10.83,10.05,31.48,34.93,12.0,6.0,8.0,28.0,7.51,215.31,233.31,13.0,12.0,35.35,False,False,True,False
Angelandia,2016,0.96,10.0,7.0,193.75,129.3216666666667,11.56,11.11,11.15,36.83,36.39,20.0,22.0,21.0,30.0,9.64,260.75,121.56,21.0,13.0,36.32,False,False,True,False
Angelandia,2017,0.9404682274247492,12.0,25.0,244.25,155.69750000000002,10.93,8.6,9.59,31.68,33.65,16.0,4.0,8.0,26.0,10.42,230.75,159.81,0.0,6.0,36.09,False,False,True,False
Angelandia,2018,1.68,16.0,29.0,159.19,139.60083333333333,10.94,10.34,9.27,30.98,29.41,12.0,4.0,0.0,17.0,7.62,280.25,141.38,2.0,8.0,35.01,False,False,True,False
Angelandia,2019,1.219512195121951,19.0,14.0,184.69,109.61,13.84,10.32,9.94,31.28,32.82,13.0,1.0,10.0,16.0,12.12,211.5,289.0,19.0,14.0,34.17,False,False,True,False
Angelandia,2020,1.840034965034965,13.0,21.0,45.5,110.44833333333334,8.04,9.29,7.46,36.31,33.32,12.0,15.0,10.0,22.0,6.85,179.12,157.81,8.0,1.0,33.82,False,False,True,False
Angelandia,2021,1.513343328335832,22.0,30.0,163.88,114.73333333333332,8.83,9.58,9.79,31.51,34.87,15.0,9.0,7.0,28.0,6.73,180.12,29.88,2.0,8.0,37.97,False,False,True,False
Aricanduva,2012,0.9,11.0,9.0,104.06,255.14083333333332,12.31,9.86,8.41,29.16,33.94,4.0,0.0,4.0,20.0,8.66,140.38,119.12,7.0,8.0,31.82,False,False,True,False
Aricanduva,2013,0.8709677419354839,29.0,19.0,171.06,172.1825,11.89,10.69,8.46,34.14,34.84,12.0,4.0,7.0,13.0,8.13,259.62,150.38,4.0,11.0,35.57,False,False,True,False
Aricanduva,2014,0.9,22.0,15.0,207.0,137.595,8.53,11.62,8.72,31.88,35.32,6.0,6.0,4.0,21.0,8.6,206.06,134.5,4.0,2.0,32.55,False,False,True,False
Aricanduva,2015,1.2,5.0,10.0,229.06,168.48333333333332,11.09,10.74,10.13,31.59,34.96,13.0,4.0,8.0,28.0,7.32,174.94,220.31,11.0,9.0,34.84,False,False,True,False
Aricanduva,2016,1.08,9.0,13.0,153.81,129.3216666666667,11.45,11.26,10.9,36.97,36.46,20.0,21.0,21.0,29.0,9.77,184.31,180.38,22.0,13.0,36.53,False,False,True,False
