number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
59,0.2811804806107422,2025-12-22 21:29:30.291729,2025-12-22 21:29:56.869024,0 days 00:00:26.577295,0.0009058152328522975,COMPLETE
60,0.35201522603180135,2025-12-22 21:29:56.881098,2025-12-22 21:30:23.314967,0 days 00:00:26.433869,0.0005190204719888824,COMPLETE
61,0.2323141554172792,2025-12-22 21:30:23.330838,2025-12-22 21:30:49.800733,0 days 00:00:26.469895,0.0006583697524688172,COMPLETE
62,0.2176277753484875,2025-12-22 21:30:49.816937,2025-12-22 21:31:16.324909,0 days 00:00:26.507972,0.0009969681630401029,COMPLETE
63,0.22558490320663524,2025-12-22 21:31:16.336324,2025-12-22 21:31:42.941623,0 days 00:00:26.605299,0.000986547260396684,COMPLETE
64,0.2723149067791951,2025-12-22 21:31:42.958887,2025-12-22 21:32:09.470643,0 days 00:00:26.511756,0.0009592160633371433,COMPLETE
65,0.3051064908957151,2025-12-22 21:32:09.486191,2025-12-22 21:32:36.059639,0 days 00:00:26.573448,0.0008799705081387218,COMPLETE
66,0.31199383786950174,2025-12-22 21:32:36.070420,2025-12-22 21:33:02.745772,0 days 00:00:26.675352,0.000967894578207787,COMPLETE
67,0.291058489698277,2025-12-22 21:33:02.761095,2025-12-22 21:33:29.371376,0 days 00:00:26.610281,0.0008066404382564848,COMPLETE
68,0.5244776537991312,2025-12-22 21:33:29.382234,2025-12-22 21:33:55.916044,0 days 00:00:26.533810,1.594632483403424e-05,COMPLETE
69,0.3153549654855113,2025-12-22 21:33:55.927601,2025-12-22 21:34:22.482682,0 days 00:00:26.555081,0.0005733480754417253,COMPLETE
70,0.32646571590392826,2025-12-22 21:34:22.494303,2025-12-22 21:34:49.085606,0 days 00:00:26.591303,0.0004344274055199519,COMPLETE
71,0.23213114620324093,2025-12-22 21:34:49.097488,2025-12-22 21:35:16.032385,0 days 00:00:26.934897,0.0006639915628230821,COMPLETE
72,0.22808154585221682,2025-12-22 21:35:16.043666,2025-12-22 21:35:42.683476,0 days 00:00:26.639810,0.0006848391150144035,COMPLETE
73,0.27935218953361834,2025-12-22 21:35:42.696683,2025-12-22 21:36:09.307646,0 days 00:00:26.610963,0.0008219757245345195,COMPLETE
74,0.31082525726518945,2025-12-22 21:36:09.319001,2025-12-22 21:36:35.995456,0 days 00:00:26.676455,0.0005604186998696637,COMPLETE
75,0.3361622688303962,2025-12-22 21:36:36.008131,2025-12-22 21:37:02.542711,0 days 00:00:26.534580,0.00047073702978637377,COMPLETE
76,0.23589651049199994,2025-12-22 21:37:02.554803,2025-12-22 21:37:29.320117,0 days 00:00:26.765314,0.0007267612914769532,COMPLETE
77,0.29249762559431264,2025-12-22 21:37:29.331361,2025-12-22 21:37:55.966277,0 days 00:00:26.634916,0.0008657052392571902,COMPLETE
78,0.2029600421432716,2025-12-22 21:37:55.977562,2025-12-22 21:38:22.882817,0 days 00:00:26.905255,0.0009983388511606195,COMPLETE
79,0.504279084443504,2025-12-22 21:38:22.896243,2025-12-22 21:38:49.288136,0 days 00:00:26.391893,0.00031142799550265055,COMPLETE
80,0.21970221308806778,2025-12-22 21:38:49.299716,2025-12-22 21:39:16.008535,0 days 00:00:26.708819,0.0009977320310197721,COMPLETE
81,0.2330765778437488,2025-12-22 21:39:16.019723,2025-12-22 21:39:43.808483,0 days 00:00:27.788760,0.0009901098207304394,COMPLETE
82,0.28845138076252713,2025-12-22 21:39:43.822234,2025-12-22 21:40:10.391190,0 days 00:00:26.568956,0.0009985433719774599,COMPLETE
83,0.296633407524083,2025-12-22 21:40:10.402253,2025-12-22 21:40:36.885942,0 days 00:00:26.483689,0.0008380182731785486,COMPLETE
84,0.2279882862747428,2025-12-22 21:40:36.901080,2025-12-22 21:41:03.419000,0 days 00:00:26.517920,0.00066339981645761,COMPLETE
85,0.34079663794189324,2025-12-22 21:41:03.430244,2025-12-22 21:41:30.286114,0 days 00:00:26.855870,0.0006195119798437829,COMPLETE
86,0.3010118550167085,2025-12-22 21:41:30.299016,2025-12-22 21:41:57.374709,0 days 00:00:27.075693,0.0007827161706463791,COMPLETE
87,0.2891134065851433,2025-12-22 21:41:57.385334,2025-12-22 21:42:24.191688,0 days 00:00:26.806354,0.0008779715483039225,COMPLETE
88,0.2787611765192159,2025-12-22 21:42:24.205382,2025-12-22 21:42:51.299710,0 days 00:00:27.094328,0.0007482771978303436,COMPLETE
89,0.3130050838269998,2025-12-22 21:42:51.312077,2025-12-22 21:43:19.118801,0 days 00:00:27.806724,0.0005526389182381687,COMPLETE
90,0.3359886329098511,2025-12-22 21:43:19.132812,2025-12-22 21:43:45.661981,0 days 00:00:26.529169,0.00046798021650510237,COMPLETE
91,0.2303100544540365,2025-12-22 21:43:45.673249,2025-12-22 21:44:12.125234,0 days 00:00:26.451985,0.0006584371387948418,COMPLETE
92,0.2968652523486937,2025-12-22 21:44:12.137107,2025-12-22 21:44:39.650452,0 days 00:00:27.513345,0.0008869840729767968,COMPLETE
